"relative_path","absolute_path","category","signature","purpose","direct_public_dependencies","sha256","validation_status"
"128_hy/adc_bandwidth_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/128_hy/adc_bandwidth_analysis.m","正式单项入口","function results = adc_bandwidth_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","频率响应、−3 dB带宽","converter.adc.runBandwidth; converter.io.parseFrequencyHz; converter.io.prepareAdcRadix; converter.io.readAdcCsv; converter.io.resolveInputPath; converter.io.selectCsvFiles; converter.runtime.applyRunOptions","0cc5b3e034861a86c46072c3171011f57b5e729bbbc3f3233399cae98b5f064b","按本次实施报告逐项核对；清单不等于方法已验证"
"128_hy/private/adc128Config.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/128_hy/private/adc128Config.m","private配置和辅助","function config = adc128Config()","按分类使用；不是独立测量入口","","4c07d1abf795cf6cd61ce5b61eb56673caa58a2e4189ed2006cf42311b853247","按本次实施报告逐项核对；清单不等于方法已验证"
"128_hy/private/bootstrapRuntime.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/128_hy/private/bootstrapRuntime.m","private配置和辅助","function bootstrapRuntime()","按分类使用；不是独立测量入口","","df7804d4074c0b018063cc24d93ad37b70c42190233efba78d5980749f345075","按本次实施报告逐项核对；清单不等于方法已验证"
"2208_hy/adc_bandwidth_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/2208_hy/adc_bandwidth_analysis.m","正式单项入口","function results = adc_bandwidth_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","频率响应、−3 dB带宽","converter.adc.runBandwidth; converter.io.prepareAdcRadix; converter.runtime.applyRunOptions","40174bf781c36eb55423dbdd83a010f426b64bd294f17b363a0c291512889b0c","按本次实施报告逐项核对；清单不等于方法已验证"
"2208_hy/adc_ila_noise_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/2208_hy/adc_ila_noise_analysis.m","正式单项入口","function results = adc_ila_noise_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","ILA输入等效PSD/ASD和频带积分","converter.adc.runInputNoise; converter.io.prepareAdcRadix; converter.io.resolveAdcChannels; converter.io.resolveInputPath; converter.io.resolveOutputBase; converter.io.selectCsvFiles; converter.runtime.applyRunOptions","3b0ab52424fccee248b4f5e26953b9e9acb72134d4d25a216c312333d92d1729","按本次实施报告逐项核对；清单不等于方法已验证"
"2208_hy/adc_inl_dnl_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/2208_hy/adc_inl_dnl_analysis.m","正式单项入口","function results = adc_inl_dnl_analysis(dataFolder, selectedFiles, outputFolder, recordsAreSampleContiguous, runOptions)","正弦码密度INL/DNL","converter.adc.runInlDnl; converter.io.prepareAdcRadix; converter.runtime.applyRunOptions","30952bf6fa55567ceea2fbb7e2903c1c221e7e8b8a877f096e11c0cf6ec7aa3b","按本次实施报告逐项核对；清单不等于方法已验证"
"2208_hy/adc_isolation_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/2208_hy/adc_isolation_analysis.m","正式单项入口","function results = adc_isolation_analysis(dataFolder, selectedFiles, outputFolder, configOverride)","ADC驱动/受扰隔离度","converter.adc.runIsolation; converter.io.prepareAdcRadix; converter.runtime.mergeConfig","7bb70e4c4ec8530ad518ec2916155a9d76f026a00860ab7d43780cecd2d9f715","按本次实施报告逐项核对；清单不等于方法已验证"
"2208_hy/adc_pico_noise_1hz_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/2208_hy/adc_pico_noise_1hz_analysis.m","正式单项入口","function result = adc_pico_noise_1hz_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","PICO联合DA9726刻度的输入等效1 Hz ASD","converter.calibration.loadAdcCalibration; converter.calibration.reportCalibration; converter.report.writeTable; converter.runtime.finalizeBundle; converter.runtime.refreshResultPaths; converter.runtime.sha256File","70f5ce2e0e783a2c8dd31dbd63cc19ef6d8538a35a09136688fb59342cb87932","按本次实施报告逐项核对；清单不等于方法已验证"
"2208_hy/adc_power_scale_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/2208_hy/adc_power_scale_analysis.m","正式单项入口","function results = adc_power_scale_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","CodePp→Vpp刻度、99%临界输入估计","converter.adc.runPowerScale; converter.io.prepareAdcRadix; converter.runtime.applyRunOptions","916bb046ae6026b85b713e5d59f6219407d8b84f281a6779400f7c3334bad561","按本次实施报告逐项核对；清单不等于方法已验证"
"2208_hy/adc_sfdr_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/2208_hy/adc_sfdr_analysis.m","正式单项入口","function results = adc_sfdr_analysis(dataFolder, selectedFiles, outputFolder, runOptions)","SFDR/SNR/SINAD/THD/ENOB","converter.adc.runSfdr; converter.io.prepareAdcRadix; converter.runtime.applyRunOptions","4c1968bf8a1cd921ed4f7e653712154257aba7ede0c4bd6e2aa377542589368e","按本次实施报告逐项核对；清单不等于方法已验证"
