"Project","Files","SizeBytes","LastModified","VivadoProjects","GitRepository"
"fpga\projects\cwjg\cwjg_v3_2_20","8023","5028444508","2026-08-07T18:17:00.3387850+08:00","fpga\projects\cwjg\cwjg_v3_2_20\CWJG_VER3.xpr","False"
"fpga\projects\cwjg\cwjg_v3_3_11","9624","6313847705","2026-08-07T18:17:00.4165111+08:00","fpga\projects\cwjg\cwjg_v3_3_11\CWJG_VER3.3_11\CWJG_VER3.xpr","False"
"fpga\projects\pdh_dlock","794","565584778","2026-08-07T17:59:04.6108876+08:00","","False"
"fpga\projects\gs_delay_20260730","1258","339129683","2026-08-07T18:17:00.7235988+08:00","fpga\projects\gs_delay_20260730\Vivado_Project\jianding_szsd_ver729\jianding_szsd_ver729.xpr","False"
"fpga\projects\cw_test_202608","1767","667086927","2026-08-07T18:17:00.6852980+08:00","fpga\projects\cw_test_202608\AD766_RF_test\build\AD677_IO_DDS_formal\AD677_IO_DDS_formal.xpr;fpga\projects\cw_test_202608\AD766_RF_test\build\AD677_IO_DDS_formal_v2_4k\AD677_IO_DDS_formal_v2.xpr;fpga\projects\cw_test_202608\AD766_RF_test\build\AD677_IO_DDS_formal_v3_ila128k\AD677_IO_DDS_formal_v3_ila128k.xpr;fpga\projects\cw_test_202608\AD766_RF_test\build\AD677_IO_DDS_formal_v4_ila128k\AD677_IO_DDS_formal_v4_ila128k.xpr;fpga\projects\cw_test_202608\AD766_RF_test\build\AD677_IO_DDS_formal_v5_ila128k\AD677_IO_DDS_formal_v5_ila128k.xpr;fpga\projects\cw_test_202608\AD766_RF_test\build\AD677_IO_DDS_formal_v6_ila128k\AD677_IO_DDS_formal_v6_ila128k.xpr;fpga\projects\cw_test_202608\AD766_RF_test\vivado_project\AD766_RF_test.xpr","False"
"fpga\legacy\jianding_szsd_old","3727","1308087971","2026-08-07T18:26:39.0201499+08:00","fpga\legacy\jianding_szsd_old\jianding_szsd.xpr","True"
"fpga\legacy\gs_delay_duplicate_review","1996","533314467","2026-08-07T18:17:00.8289406+08:00","fpga\legacy\gs_delay_duplicate_review\jianding_szsd_ver729\jianding_szsd_ver729.xpr","False"
"fpga\experiments\dian2_test","100","206393347","2026-07-14T19:45:56.0000000+08:00","","False"
"fpga\experiments\test_513","13","399187","2026-07-26T08:34:13.9583558+08:00","","False"
"fpga\experiments\test3_bit","11","144694074","2026-07-14T19:45:56.0000000+08:00","","False"
"matlab\laser_analysis","476","96491689","2026-08-07T18:17:28.1631292+08:00","","True"
"matlab\project_analysis\gs_delay_20260730","382","1168386557","2026-08-07T17:19:37.2198127+08:00","","False"
"fpga\legacy\unclassified_drive_pang","8","40600","2026-04-15T09:38:38.0000000+08:00","","False"
"fpga\releases\unclassified_error_detection_laser_drive_20260801","5","28872316","2026-08-01T14:55:10.8994896+08:00","","False"
"matlab\legacy\gs_delay_data_and_examples","79","1057739022","2026-07-29T23:58:34.0000000+08:00","","False"
